topic,category,question,answer,keywords,timestamp
Research Papers by University Professors,Academic,ودي اعرف وش الابحاث اللي سواه اي دكتور في الجامعه عندنا؟,ممكن تبحث يا غالي عن اسم الدكتور في بعض المواقع وسيظهر لك أبحاثه التي نشرها وأعدها مثل Researchgate.,"['research papers', 'university professors', 'Researchgate']",2023-05-12
Insurance Coverage for MRI Costs,Other,هل تامين pecific insurance تغطي تكلفه الMRI؟,غالبا التأمين الطبي لازم تتنوم عشان تقدر تستخدمه. الأفضل تقلهم انك طالب وما تقدر تدفع او تتحمل قيمة الأشعة وانك تحتاج الموافقة اول شي.,"['insurance', 'MRI', 'healthcare']",2023-05-12
University Cover Letter Inquiry,Academic,في شي اسمه University cover letter ? و من فين اطلعه .. ؟,Cover letter هي الرسالة اللي تاخذها من الجامعة لما تقدم على التدريب الصيفي في الشركات. على حسب كليتك تطلبها.,"['University cover letter', 'التدريب الصيفي', 'الجامعة']",2023-05-15
Obtaining Previous Semester Exam Results,Academic,كيف اقدر استخرج (previous semester exam result) الخاصة بسمستر الفاونديشن؟,تطلبه من الAcademic Office في الUTM SPACE. ارسلهم ايميل على: utmidp@utmspace.edu.my.,"['previous semester', 'exam result', 'foundation semester', 'Academic Office']",2023-05-15
Requirements for Issuing Lost Secondary Certificate,Academic,في احد يعرف اش المتطلبات عشان اطلع بدل فاقد شهاده ثالث ثانوي من وزارة التعليم السعوديه؟,الهوية والنسخة القديمة من الشهادة لو كانت معك + الجواز احتياط عشان يكتبوا لك رقم الجواز في الشهادة اذا ماكان مكتوب في اللي قبل.,"['بدل فاقد', 'شهادة ثالث ثانوي', 'متطلبات']",2023-05-15
International Driving Permit Discussion,Other,عشان اطلع رخصه دوليه لازم رخصتي السعودية تكون ساريه؟,نعم، الرخصة السعودية يجب أن تكون سارية للحصول على رخصة دولية.,"['رخصة دولية', 'رخصة سعودية', 'سارية']",2023-05-15
Visa Renewal Procedures,Visa/Immigration,انا لازم اروح تاريخ 27 لل utm international عشان اجدد الفيزا هل عادي لو تأخرت عن هذا الموعد بيوم او يومين؟,عادي يا غالي تتأخر يوم يومين مش مشكلة إن شاء الله.,"['visa', 'renewal', 'UTM', 'appointment']",2023-05-16
Visa Renewal Timing,Visa/Immigration,إذا جددت الفيزه قبل ثلاثه اشهر من انتهاء الفيزه، هل تطلع الفيزه الجديده بعدها ما تخلص المعامله؟,لا عادي تتطلع قبل ما تخلص الاولى ويعطوك الجواز حتى ممكن قبل شهر ما تخلص الاولى.,"['visa', 'renewal', 'timing']",2023-05-19
Academic Survey Participation,Academic,هل ترغب في المشاركة في استبيان حول مدى تفاعل الطلاب مع المنهج الدراسي خلال السنة الدراسية؟,نود دعوتك للمشاركة في استبياننا. يستغرق أقل من 3 دقائق. 🔗 https://forms.gle/pna9uAGK1bvxSHoZA,"['survey', 'academic engagement', 'participation']",2023-05-21
Opening a Bank Account Requirements,Other,عشان افتح حساب في maybank لازم موعد ولا اروح اي وقت وايش الاوراق المطلوبه؟,"اي وقت. الأوراق المطلوبة: 1. Approval letter from EMGS 2. Letter from UTM 3. Malaysia hand phone bill, etc.","['bank account', 'Maybank', 'requirements']",2023-05-20
Survey Participation Invitation,Academic,Can I participate in the survey conducted by group 5 of UKQT3001-01?,"Yes, we invite you to participate in our survey. It takes less than 3 minutes to fill in! 🔗 https://forms.gle/pna9uAGK1bvxSHoZA","['survey', 'UKQT3001-01', 'student engagement']",2023-05-21
Bank Statement Requirement,Visa/Immigration,Is a bank statement necessary to open an account?,"Yes, you might need a bank statement for your sponsor.","['bank statement', 'account opening', 'sponsor']",2023-05-22
Insurance Requirement for Road Tax,Visa/Immigration,Can I do the road tax without having insurance?,"No, insurance is necessary.","['road tax', 'insurance', 'requirement']",2023-05-22
Contacting the Saudi Embassy,Visa/Immigration,What is the method to contact the Saudi embassy in Kuala Lumpur?,You can go through an office. I'll provide you with a good office to contact.,"['Saudi embassy', 'Kuala Lumpur', 'contact method']",2023-05-24
Digital Services Hours,Student Life,Are the UTMDigital offices open after noon?,They probably close at 5 PM.,"['UTMDigital', 'office hours']",2023-05-24
Graduate Email Access After Graduation,Academic,Will I be able to access my university email after graduation?,"Yes, you can still access it, so it's best to back up important information.","['graduate email', 'access', 'backup']",2023-05-27
Course Registration Dates,Academic,When will the course registration for the next semester be?,The course registration will be from 18-29 June.,"['course registration', 'semester dates']",2023-05-30
