topic,category,question,answer,keywords,timestamp
Excel Course Registration Steps,Academic,مين عنده خطوات تسجيل مادة excel ؟,راجع المقال المرفق للخطوات اللازمة.,"['Excel', 'تسجيل مادة', 'خطوات']",2023-10-09
Academic Calendar Inquiry,Academic,السلام عليكم ممكن التقويم الدراسي؟,تم توفير التقويم الدراسي في الملف المرفق.,"['التقويم الدراسي', ' أكاديمي']",2023-10-10
Obtaining Secondary School Certificate,Academic,هل ضروري أجيب الشهادة الثانوية الأصلية؟,ما حيكتمل تسجيلك الا بالشهادة الأصلية، والاسبوعين هذي ما جات الا كحلّ للطلاب اللي نسوا شهاداتهم.,"['شهادة ثانوية', 'تسجيل', 'ضروري']",2023-10-11
Fridge Regulations in KLG,Student Life,هل الثلاجات مسموحة في KLG؟,نعم ولكن لازم يكون فيه سبب وتقدم على فورم من عندهم وفيه رسوم إضافية.,"['ثلاجات', 'KLG', 'مسموحات']",2023-10-11
International Driving License,Other,هل في احد يخطط يطلع رخصة دولية من مكتب بأمريكا؟,تواصل معي خاص من أجل مشاركة رسوم التوصيل.,"['رخصة دولية', 'أمريكا', 'التوصيل']",2023-10-11
Transfer Money to Saudi Arabia,Other,إيش أفضل طريقه احمل فيها فلوس إلى السعودية من ماليزيا غير وسترن يونين؟,محوّل.,"['نقل أموال', 'ماليزيا', 'السعودية']",2023-10-12
Cooling Unit Metering,Other,ياشباب احد عنده فكره عن عدادات المكيفات؟,تلقاها في شوبي أو لازادا.,"['عداد مكيف', 'شراء', 'شوبي']",2023-10-12
Buying Laptop Charger,Other,من ويت اقدر اشتري شاحن لابتوب hp؟,تلقى هنا ان شاء الله في الرابط المرفق.,"['شاحن', 'لابتوب', 'HP']",2023-10-12
University Bank Card Usage,Academic,هل بطاقة الجامعة الجديدة فيها بطاقة بنك؟,بطاقة الماترك البنكية (الزرقاء) تعاملها كانها ماترك كارد عادية. استخدامات البنك متوفرة للطلاب الماليزيين فقط حالياً.,"['جامعة', 'بطاقة بنك', 'الطلاب الماليزيين']",2023-10-12
Changing University Card,Academic,كيف يمكنني تغيير بطاقتي الجامعية؟,الآن يمكن تغيير البطاقة في مكتب أمن الجامعة عند البوابة الداخلية للجامعة، ولكن يحتاج تفعيل الحساب البنكي بالذهاب لأقرب فرع.,"['تغيير البطاقة', 'مكتب الأمن', 'الحساب البنكي']",2023-10-12
Using Calculator During Exams,Academic,هل يمكنني استخدام الآلة الحاسبة في اختبارات الرياضيات؟,نعم، يمكنك استخدامها.,"['اختبار', 'آلة حاسبة', 'رياضيات']",2023-10-14
Visa Renewal Consequences,Visa/Immigration,ما هي العواقب إذا انتهت فيزتي ولم أقدم على تجديدها؟,هناك غرامة مالية حوالي ألف رنجت وقد تحدث مشاكل أخرى، لذلك حاول التقديم بأسرع ما يمكن.,"['فيزا', 'تجديد', 'غرامة مالية']",2023-10-15
BigPay Card Issues,Other,هل واجه أحدكم مشكلات في فتح حساب BigPay؟,نعم، قد يواجه بعض الأفراد صعوبات في عملية التحقق. من الأفضل التواصل مع الدعم الفني.,"['BigPay', 'حساب', 'مشكلات']",2023-10-15
Books for Islamic Outreach,Other,أين أستطيع شراء كتب دعوة للإسلام باللغة الصينية أو الإنجليزية؟,ما زلت أبحث عن مكان يبيع هذه الكتب ولم أجد أي معلومات دقيقة.,"['كتب', 'دعوة', 'إسلام']",2023-10-15
Pusat Kaunseling Visit,Student Life,هل يمكنكم إعطائي معلومات عن مركز الخدمات النفسية في الجامعة؟,Pusat Kaunseling: https://foursquare.com/v/53336949498edfd56d4efe48 فاتحين اليوم وغدًا حتى الساعة 5 عصرًا.,"['Pusat Kaunseling', 'جامعة', 'خدمات نفسية']",2023-10-16
Visa Extension for Passport,Visa/Immigration,كم مدة تمديد الجواز في ماليزيا؟,ب80 رنجت ويمتد لمدة سنتين.,"['تمديد الجواز', 'ماليزيا', 'مدته']",2023-10-16
Car Sales Inquiry,Other,من لديه سيارة للبيع؟,أي أحد عنده سيارة للبيع يراسلني.,"['سيارة', 'بيع']",2023-10-16
Master's and PhD Scholarship Opportunity,Academic,هل هناك منحة دراسية متاحة للماجستير أو الدكتوراه في تخصص علوم الحاسوب؟,نعم هناك منحة كاملة في جامعة UTP تحت إشراف الدكتور عرفات الدقم. للتواصل +60 11-1115 5401.,"['منحة دراسية', 'ماجستير', 'دكتوراه', 'علوم الحاسوب']",2023-10-17
Changing a PDF Submission in E-learning,Academic,كيف يمكنني تغيير ملف PDF الذي أرسلته في النظام الإلكتروني؟,احذفه وارفع واحد ثاني، يمكنك استخدام 'Edit submission' إذا كانت متاحة.,"['E-learning', 'PDF', 'تغيير']",2023-10-17
Furniture Market Timing,Student Life,متى يكون سوق الأثاث المستعمل في الجامعة مفتوحًا؟,يكون مفتوحًا من بعد الظهر حتى الرابعة.,"['سوق الأثاث', 'جامعة', 'مواعيد']",2023-10-17
Visa Deposit Refund,Visa/Immigration,هل يتم استرداد الديبوزيت عند إلغاء اشتراك الإنترنت؟,لا توجد ردود واضحة على ذلك.,"['استرداد', 'ديبوزيت', 'إنترنت']",2023-10-18
Water Filter Recommendations,Other,ما هو أفضل نوع فلتر للماء يمكنني شراؤه؟,Panasonic هو خيار جيد، ويمكن شراؤه من شوبي أو أيون.,"['فلتر ماء', 'شراء', 'Panasonic']",2023-10-17
Community Support for Palestine,Other,ماذا يمكن أن نفعل لدعم القضية الفلسطينية؟,يمكن الدعاء وتقديم الدعم المالي، والمشاركة في الوقفات الاحتجاجية.,"['فلسطين', 'دعم', 'تضامن']",2023-10-19
Support for Palestine,Other,كيف يمكنني مساعدة أهلنا في فلسطين؟,من كانت مقدرته الدعاء فليدعوا ومن كانت مقدرته التبرع يتبرع ومن كان يقدر ينصر بكلمه فلينصر.,"['فلسطين', 'دعم', 'التبرع', 'دعاء']",2023-10-19
RHB Bank Account Opening,Academic,ما هي الوثائق المطلوبة لفتح حساب في بنك RHB كطالب دولي؟,1. جواز السفر 2. تأشيرة الطالب 3. خطاب من الجامعة يثبت حالة الطالب 4. تأكيد EMGS لحالة الطالب الدولي 5. بطاقة المترجم من الجهتين 6. عنوان الإقامة. يجب إيداع أولي بقيمة 200 رينغت.,"['فتح حساب', 'بنك RHB', 'طلاب دوليين']",2023-10-21
STC Pay Transfer,Academic,كيف أحول من STC Pay إلى حسابي هنا في ماليزيا؟,اختر تحويل دولي وبعدها اختر ماليزيا وأدخل معلومات حسابك المحلي.,"['STC Pay', 'تحويل دولي', 'ماليزيا']",2023-10-21
Medical Facilities,Student Life,هل هناك مستشفى جيدة قريبة من هنا؟,ممتاز جدا لكنه غالي ويقبل تأمين الجامعة حسب الحالة.,"['مستشفى', 'علاج', 'تأمين']",2023-10-23
Travel Requirements to Egypt,Visa/Immigration,هل أحتاج إلى تأشيرة للسفر إلى مصر؟,يجب التأكد من المتطلبات الحالية، ولكن تأشيرة قد تكون مطلوبة.,"['مصر', 'تأشيرة', 'سفر']",2023-10-23
International Driving License,Other,كيف يمكنني استخراج رخصة قيادة دولية؟,تواصل مع شخص يؤدي دور استخراج رخصة قيادة دولية من دبي.,"['رخصة قيادة', 'دولية', 'استخراج']",2023-10-23
Entry and Exit Records,Academic,كيف يمكنني الحصول على سجلات الدخول والخروج الخاصة بي في ماليزيا؟,يمكنك الاستفسار من إدارة الهجرة أو البحث عبر الإنترنت عن الطريقة المتاحة.,"['سجلات دخول', 'سجلات خروج', 'ماليزيا']",2023-10-24
Aptis Exam Acceptance,Academic,هل تقبل الجامعة اختبار Aptis؟,لا، الجامعة لا تقبل هذا الاختبار.,"['اختبار Aptis', 'الجامعة', 'قبول']",2023-10-24
Receiving UTM Receipt,Visa/Immigration,كيف شكل الUTM Receipt (Original)؟,هم غالبًا ما يعطوه وقت تسليم جوازك ويطلبوه وقت ما يكون جوازك جاهز. فقط روح بال holding letter كافي ان شاء الله.,"['UTM Receipt', 'جواز', 'holding letter']",2023-10-25
Matric Card Collection,Student Life,فين UTM OFFICE لاستلام matric card؟,https://maps.app.goo.gl/aMeSJX92B3j7HcJS7,"['UTM OFFICE', 'matric card', 'التوجيه']",2023-10-25
Best Money Transfer Method,Finance,هل فيه افضل طريقه لتحويل فلوس من ماليزيا إلى الامارات (غير bigpay)؟,تستطيع استخدام طرق تحويل أخرى مثل Urpay أو البحث عن محلات أخرى.,"['تحويل فلوس', 'ماليزيا', 'الإمارات']",2023-10-25
Academic Office Location,Academic,أين الأكاديمي أوفيس حق البايومديكل؟,في الاوفيس حق الكهرباء.,"['Academic Office', 'بايو', 'دراسة']",2023-10-25
Visa Document Submission,Visa/Immigration,كيف ارفع explanation letter و study plan على الموقع؟,ممكن تجمعهم في ملف واحد.,"['visa', 'explanation letter', 'study plan']",2023-10-26
Transportation Schedule,Student Life,هل الباص من ميلانا للجامعه يشتغل اليوم؟,للأسف باص ميلانا مو شغال بالويكند لكن ممكن تستعمل تطبيق kumpool يوصلك الجامعة برينغيت.,"['bus schedule', 'ميلانا', 'الجامعة']",2023-10-28
International Money Transfer Inquiry,Finance,كم سعر الصرف في touch go لما تحول من بطاقة سعودية من الريال للرنجت؟,يمكن استخدام stcpay على حساب bigpay لتحسين سعر الصرف.,"['سعر الصرف', 'touch go', 'تحويل']",2023-10-26
Finding Key Duplication Service,Student Life,أين يمكنني أن أجد محل نسخ مفاتيح في Taman U؟,https://maps.app.goo.gl/ejDH2Bies7BWZ4yj9,"['نسخ مفاتيح', 'Taman U', 'خدمة']",2023-10-27
YSAG Student Group Registration,Student Life,هل يوجد رابط الانضمام لمجموعة YSAG للطلبة الجدد؟,يرجى الانضمام لمجموعة الطلاب الجدد للفاونديشن: https://chat.whatsapp.com/HyU0wt2Np772evX1tgVfNK,"['YSAG', 'students', 'WhatsApp group', 'foundation']",2023-10-30
Medical Care at University,Student Life,متى تقفل عيادة الجامعة؟,العيادة تقفل الساعة 5 وإذا كان هناك حالة طوارئ تظل مفتوحة 24 ساعة.,"['عيادة', 'مستشفى', 'طوارئ', 'ساعات العمل']",2023-10-30
Visa Cancellation Process,Visa/Immigration,هل يمكنني تقديم تذكرة طيران مزورة في إجراءات كنسلة الفيزا؟,قدمت بتذكرة مزورة ولكن يجب أن تكون على علم أنه قد يعطوك يومين بعد التاريخ المذكور في التذكرة.,"['تأشيرة', 'كنسلة', 'تذكرة طيران', 'مزورة']",2023-10-31
Changing Portal Password,Other,كيف أغير كلمة سر حسابي في البورتال؟,عذرًا لم يتم توفير إجابة محددة، يُمكنك البحث في الموقع الرسمي أو التواصل مع الدعم الفني للجامعة.,"['كلمة سر', 'بورتال', 'الجامعة']",2023-10-31
Student Course Registration,Academic,هل أستطيع أخذ مادتين Curriculum في السمستر الحالي؟,يعتمد على تخصصك، يمكنك مراجعة كتيب الطالب (handbook) لمعرفة عدد المواد التي يمكنك أخذها.,"['مادتين', 'Curriculum', 'تخصص', 'كتيب الطالب']",2023-10-31
